haplogroup	example_accession_1	example_accession_2
L1c1b1	EU273499	HM771220
L1c1d	NA19385	
L1c1d1	FJ713601	AF346987
L1c1c	EU092717	JQ701901
L1c2a1a	AF346992	JX303855
L1c2a2	EU273501	EU092864
L1c2a3	EU092848	
L1c2a3a	KC533467	JX303782
L1c2b1a'b	DQ341059	
L1c2b1a	HM771222	
L1c2b1a1	KC152939	JQ705864
L1c2b1b	EU092849	
L1c2b1b1	JQ705650	JX303883
L1c2b1c	EU092712	JQ702903
L1c2b2	HM771221	EU092738
L1c4a	EU273502	HM771117
L1c4b	JF812599	JQ703773
L1c6	EU273489	JQ044836
L1c5	JX303797	JQ702617
L1c3a	EU092703	JX303824
L1c3a1a	EU935458	EU092718
L1c3a1b	JX303871	EU092956
L1c3b1	HG01378	
L1c3b1a	HG01080	EU273488
L1c3b1b	JQ702600	EU092689
L1c3b2	NA19256	NA19163
L1c3c	EU273493	
L5a1a	EF556173	DQ341060
L5a1b	EU092943	EU092888
L5a1c	HM771198	NA19317
L5a2	EU092699	JX303751
L5b1	NA19373	
L5b1a	DQ341061	KC911364
L5b1b	EU092774	NA19404
L5b2	NA19332	NA19455
L2a1a	DQ304928	EU092916
L2a1a1	NA19266	DQ304933
L2a1a2	JN214449	DQ304968
L2a1a2a	DQ304975	
L2a1a2a1	NA20287	JQ044968
L2a1a2a1a	NA19117	DQ304976
L2a1a2b	DQ304972	JQ045095
L2a1a2c	HQ425645	DQ304927
L2a1a3	EU092711	
L2a1a3a	EU092890	EU092905
L2a1a3b	DQ304948	JQ044819
L2a1a3c	HM771168	JQ045101
L2a1_T16189C!(C16192T)	EU092806	
L2a1b	EU092761	
L2a1b1	NA19129	
L2a1b1a	EU092690	JX303858
L2a1b2	JQ044975	JQ044841
L2a1b_G143A	NA19625	
L2a1b3	NA18856	JQ044837
L2a1f	DQ304959	NA19125
L2a1f1	DQ304961	DQ304955
L2a1f1a	DQ304958	DQ304934
L2a1f2	DQ112698	DQ304957
L2a1f3	KC533500	JQ044861
L2a1g	KC533472	JX303906
L2a1c	EU092733	HM771224
L2a1c_T16086C	JQ044973	
L2a1c1	FJ460560	
L2a1c1a1	JQ705046	NA18868
L2a1c1a2	JQ412577	EU092954
L2a1c6	JN214436	JQ702659
L2a1c2	JQ045108	JQ045024
L2a1c2a	HM771169	JQ045025
L2a1c3a	EU092663	EU200762
L2a1c3a1	JQ705145	NA19923
L2a1c3b	JQ044996	
L2a1c3b1	JQ045110	EU092720
L2a1c3b2	NA19096	JQ045063
L2a1c4	JN214432	
L2a1c4a	DQ304942	FJ460549
L2a1c4a1	DQ304951	NA18912
L2a1c_G16129A!	JN858955	
L2a1c5	NA18908	HM771225
L2a1d1	EU092765	EU092939
L2a1d2	JX303838	JN858956
L2a1h	EU092676	EU092914
L2a1e	DQ304945	
L2a1e1	DQ304930	NA19116
L2a1_G143A_T16189C!(C16192T)	FJ460527	HQ384198
L2a1_G143A_T16189C!(C16192T)_G16309A!	EU092793	
L2a1i	JQ044958	JQ044905
L2a1i1	JX303853	EF657335
L2a1q	JX303870	NA19381
L2a1j	EU092756	EU092816
L2a1k	EU200763	EU200760
L2a1l1	JQ044956	
L2a1l1a	EU092807	
L2a1l1a1	EU092812	JQ044817
L2a1l1a2	KF952774	JQ044897
L2a1l1b	NA20332	JQ044955
L2a1l2	EU092721	
L2a1l2a	JX266264	JQ705185
L2a1l2a1	JX266265	JQ705589
L2a1l3	JX021728	NA18487
L2a1m	JQ045040	
L2a1m1	DQ304940	
L2a1m1a	JQ701914	DQ304938
L2a1n	DQ304941	NA18519
L2a1o	JQ045000	EU092739
L2a1p	EU092671	JQ044822
L2a2a	EU092896	
L2a2a1	EU092902	HM771205
L2a2b1	NA19443	
L2a2b1a	HM771208	HM771192
L2a2b2	HM771191	HM771207
L2a3	HM771206	
L2a4a	HM771212	HM771196
L2a4b	NA19393	NA19376
L2a5	NA19045	HQ384199
L2b1	EU092747	EU092766
L2b1a	JQ044854	
L2b1a2	EU092722	JQ044890
L2b1a3	DQ304978	JX303882
L2b1a4	JN214453	
L2b1b	FJ228403	JQ044800
L2b2	EU092692	
L2b2a	KC533513	JX303841
L2b3a	JQ702626	JQ702123
L2b3b	EU092734	JN214443
L2b3c	EU092661	NA19247
L2c	JQ044941	EU092723
L2c1	JQ044858	
L2c1a	EU092813	JQ044887
L2c2	NA19229	EU092697
L2c2a	DQ304988	EU092955
L2c2a1	JQ704740	JX303792
L2c2b1a	NA18517	JQ704094
L2c2b1b	KC533455	EU092710
L2c2b2	JQ044878	JQ044853
L2c3	JQ705626	JQ044810
L2c3a	AF346995	JQ045104
L2c4	JQ044914	DQ112735
L2c5	AY195785	NA19835
L2d	JQ045050	
L2d_G16129A!	JQ045069	EU092817
L2d1	JQ044948	
L2d1a	EU092794	JQ045011
L2e	EU092724	DQ112709
L2e1	JQ044816	
L2e1a	NA19108	FJ460523
L6a	EU092773	EU092802
L6b	DQ341063	EU092686
L4a1	FJ460531	
L4a1a	DQ341064	EU092748
L4a2	EU092935	EU092799
L4b1	NA19383	
L4b1a	JQ044811	EU092808
L4b2a1	EU092942	DQ341065
L4b2a2	EF184627	EU092750
L4b2a2a	EU092938	EU092743
L4b2a2b	EU092951	EU092780
L4b2a2c	NA19445	NA19435
L4b2b	NA19259	
L4b2b1	JQ702504	NA19187
L3a1a	JN655813	EF184630
L3a1b	DQ341081	JN655774
L3a_G709A	JN655803	
L3a2	NA19438	
L3a2a	JN655805	EU092941
L3b1a	EU092726	
L3b1a1	JQ705783	
L3b1a1a	DQ304995	EU597490
L3b1a2	JN655827	EU935449
L3b1a3	FJ460529	DQ304990
L3b1a4	FJ460536	EU092759
L3b1a5	JQ044986	EU092962
L3b1a5a	NA18865	NA18907
L3b1a_T152C!	JN655790	
L3b1a6	EU092958	JQ045058
L3b1a_C16124T!	EU092768	
L3b1a7	JX666328	
L3b1a7a	DQ341073	JQ044820
L3b1a8	NA19222	NA19175
L3b1a9	JN655791	JQ045018
L3b1a9a	EU092727	EU092825
L3b1a10	EU092897	NA19257
L3b1a11	DQ304991	EU092694
L3b1b	EU092814	DQ112738
L3b1b1	EU092682	EU200761
L3b2	JQ045029	
L3b2a	EU092725	EU935440
L3b2b	NA18916	DQ112746
L3b3	JQ703986	NA18858
L3f1a	EU092891	
L3f1a1	JN655809	DQ341078
L3f1b_C16292T	DQ341077	JN655783
L3f1b1	JQ044831	
L3f1b1a	DQ305036	JQ704670
L3f1b1a1	JX303774	EU092857
L3f1b2	EU092805	
L3f1b2a	EU935451	EU092953
L3f1b_C16292T_C150T	NA19172	
L3f1b3	EU092883	NA19213
L3f1b4a	EU092865	
L3f1b4a1	EU092912	EU092791
L3f1b4b	JQ045093	NA18520
L3f1b4c	EU092704	JQ045084
L3f1b5	GU455415	GU455422
L3f2a	JN655784	
L3f2a1	JN655841	
L3f2a1a	DQ341076	JN655819
L3f2b	EU092770	EU092877
L3f3	FJ625848	JN655831
L3f3a	FJ625855	FJ625854
L3f3b	FJ625850	DQ341075
L3c	EU092660	DQ341074
L3d	DQ112884	
L3d1'2'3'4'5'6	EU092898	
L3d1a	EU092796	NA19316
L3d1a1a	JN655800	KC911533
L3d1a1a1	KC533458	EU092932
L3d1a1b	EU092876	NA18867
L3d1a2	HM771228	JQ702481
L3d1b	JQ045112	EU092899
L3d1b1	DQ341072	
L3d1b1a	JN214459	JN214478
L3d1b1b	EU200759	JN655823
L3d1b2	JQ702420	JQ705077
L3d1b3	JQ045051	
L3d1b3a	JX303821	JQ044814
L3d1c	EU092762	JQ044862
L3d1c1	EU092830	JQ044824
L3d1d	AY195782	DQ112714
L3d2a	HM771170	DQ112713
L3d2b	JQ705019	JN655793
L3d3a	DQ112716	
L3d3a1	JX303864	
L3d3a1a	EU092851	EU597526
L3d3a1b	JX303836	JX303803
L3d3b	JN655797	AF381998
L3d4	NA20296	GU455420
L3d4a	JN655834	FJ460540
L3d5	JN214479	
L3d5a	NA19121	EU597500
L3d6	JQ045091	NA18864
L3e1	EU092827	EU092887
L3e1a1a	EU092749	KC533483
L3e1a2	JX303878	EU092867
L3e1a3a	KC533488	HM771173
L3e1a3b	NA19114	EU092960
L3e1b1	JN655794	EU092681
L3e1b2	KC533453	JX303759
L3e1c	EU092879	EU092740
L3e1d	HM771171	
L3e1d1	EU092862	JX303847
L3e1d1a	EU092693	JX303886
L3e1e	JQ045096	NA19391
L3e1e1	EU092915	AF346980
L3e1e2	HG01170	DQ282507
L3e1f	JQ704728	
L3e1f1	HM771135	
L3e1f1a	HM771172	KC533470
L3e1f2	JN214448	JQ705521
L3e1g	JQ044847	JQ045070
L3e2a	EU092769	NA19707
L3e2a1a	DQ305026	DQ305027
L3e2a1b	DQ305029	JQ702533
L3e2a1b1	DQ305031	JQ044801
L3e2a1b2	HM771176	HM771175
L3e2a1b3	DQ305025	HG01456
L3e2a2	JQ045092	EU092926
L3e2a3	EU092729	
L3e2b	DQ341071	HM771122
L3e2b1	DQ305022	
L3e2b1a	JQ703138	
L3e2b1a1	DQ305021	AF347015
L3e2b1a2	JX303789	JQ701829
L3e2b2	EU092784	EU092777
L3e2b_T152C!	DQ304998	DQ305003
L3e2b3	DQ305008	DQ305009
L3e2b4	DQ305000	JN381504
L3e2b5	NA19238	JQ044972
L3e2b6	JN655795	NA19147
L3e2b7	AF346994	EU935465
L3e2b8	DQ305019	NA19150
L3e3a	DQ305012	JN655812
L3e3b	DQ305011	DQ305010
L3e3b1	HM771231	DQ305013
L3e3b2	AF346967	HM771232
L3e3b3	JQ044850	JQ044964
L3e4	EU092752	
L3e4a	EU092695	NA18909
L3e4a1	JQ705320	JQ045125
L3e5	KF358485	JN655822
L3e5a	JN214452	
L3e5a1	EU092821	
L3e5a1a	KF358475	JN655798
L3e5b	EU092959	KF358486
L3e5_T195C!	JN655828	
L3e5c	KF358482	KF358474
L3e5d	FJ460533	KF358487
L3e5e	KF358472	DQ341070
L3e5f	KF358481	KF358480
L3i1	NA19437	
L3i1a	JN655780	DQ112958
L3i1b	DQ341069	EU092923
L3i2	DQ341068	JN655814
L3k	EU092822	
L3k1	JQ705310	JN655789
L3x1a1	NA19446	EF556171
L3x1a2	JN655779	JN655773
L3x1_T16311C!	JN655837	
L3x1b	JN655782	DQ341067
L3x2a	EU092944	JN655776
L3x2a1	DQ341066	
L3x2a1a	JN655829	EU092684
L3x2b	EU092818	HQ675033
L3h1a1	JN655830	NA19457
L3h1a2a	JN655840	
L3h1a2a1	AF347000	JN655824
L3h1a2b	JN655788	EU092753
L3h1b1	EU092828	
L3h1b1a	EU092903	JN214458
L3h1b2	EU092736	GU455418
L3h2	JN655801	DQ341080
M1a	JQ702955	
M1a1	EF060330	EF060331
M1a1a	KC152544	
M1a1a1	JQ704763	EF060315
M1a1b1	KC152556	EF060317
M1a1b1a	EF060321	EF060319
M1a1b1b	KC152591	DQ779928
M1a1b1b1	KC152593	DQ779930
M1a1b1c	JQ705802	JQ249907
M1a1b2	HQ384200	KC152571
M1a1c	EF556180	EF060322
M1a1d	EF060325	EF060327
M1a1e1	EF060333	KC152582
M1a1e2	EF060332	HM852804
M1a1f	EF060328	KC152594
M1a1g	KC152575	
M1a1h	DQ341082	
M1a1i	JQ703063	HG01272
M1a2	EF060340	
M1a2a	AF381984	DQ779927
M1a2b	EF060337	KC152570
M1a3a	EF177443	EF060342
M1a3b	GU122999	
M1a3b1	KC152560	EU200765
M1a3b2	EF060343	JX153066
M1a4	EF060348	EF060349
M1a4a	EF060346	EF060347
M1a5	EF060351	EF060350
M1a6	KC152573	EF060344
M1a7	KC152588	
M1a8	EF060345	
M1a8a	JQ702011	JX154038
M1b1	KC152542	
M1b1a	EF060353	EF060354
M1b1b	EF060352	KC152586
M1b2	EF060361	DQ779932
M1b2a	EF060355	EF060357
M1b2b	KC152557	EF060358
M1b2c	EF060362	
M20	AP012349	JX289112
M51a	KC505097	
M51a1a	HM596693	GQ301874
M51a1b	EU597554	KC505102
M51a2	GQ301870	GQ301882
M51b	KC505098	
M51b1a	GQ301879	KC505099
M51b1b	KC505100	KC505101
M2a1	EU443499	EU597558
M2a1a	EU443460	EU597516
M2a1a1	EU443472	
M2a1a1a	EU443508	
M2a1a1a1	FJ383240	EU443473
M2a1a1b	EU443507	FJ383286
M2a1a1b1	EU443509	FJ383285
M2a1a2	EU443493	
M2a1a2a	EU443494	
M2a1a2a1	FJ383280	EU443477
M2a1a2a1a	FJ383276	EU443480
M2a1a_G207A	EU443506	GU480005
M2a1a3	EU443502	
M2a1a3a	EU443470	EU443501
M2a1a3a1	EU443467	FJ383273
M2a1a3b	FJ383272	EU443468
M2a1b	EU443454	EU443456
M2a1c	EU443443	EU443445
M2a2	EU443487	
M2a2a	FJ383239	EU443474
M2a3	EU443450	EU443505
M2a3a	EU443447	EU443513
M2b	EU443512	
M2b1	EU443481	
M2b1a	EU443483	EU443504
M2b1b	EU443496	EU443498
M2b2	EU443463	EU443459
M2b3	AY922305	
M2b3a	EU443449	FJ383267
M2b4	EU443484	EU443486
M2c	KC911426	
M3	DQ408676	
M3a1	FJ383527	JX462712
M3a1_T204C	JQ704107	FJ383536
M3a1a	FJ383514	FJ383518
M3a1b	KC911530	JX462700
M3a2	AY922266	JQ702439
M3a2a	FJ383531	FJ383530
M3b	FJ383513	FJ383523
M3c_T152C!	FJ383542	
M3c1a	JX462722	FJ770965
M3c1b	FJ383459	
M3c1b1a	FJ383468	FJ383460
M3c1b1b	FJ383471	FJ383462
M3c2	GU810074	FJ383541
M3d	DQ246829	JF742212
M3d1	FJ770946	
M3d1a	JF742206	KC505095
M3d1a1	KF056282	KF056281
M4a	KC911394	FJ383293
M4b	DQ408679	KC911313
M65a1	AY922291	JX462703
M65a_C16311T!!	JX289111	HM036536
M65a2	HM036576	HM030533
M65b	FJ383297	AY922261
M67	FJ383300	FJ383294
M18a	KC911475	FJ383336
M18b	JQ705662	FJ383335
M18c	JX289108	FJ383337
M38	JX289116	
M38a	AY922286	AY922290
M38b	FJ383403	FJ383404
M38c	FJ383397	FJ383395
M38d	FJ770947	
M38e	FJ770963	
M30	FJ383657	FJ383658
M30a	FJ383662	FJ383663
M30a1	AY922254	AY289072
M30a2	FJ383660	FJ383665
M30b	AY289071	JQ702987
M30c	AF382013	
M30c1	AY922268	
M30c1a	HM036539	
M30c1a1	EF556149	AY922257
M30d1	KC533457	FJ383656
M30d2	FJ383668	AY922255
M30_C16234T	EU597504	AY922258
M30e	FJ383676	FJ383679
M30f	FJ383674	DQ246818
M30g	JF742213	FJ383671
M37_T152C!	FJ383686	
M37a	FJ383685	AY922265
M37a1	HQ541751	FJ383690
M37d	FJ383687	FJ383688
M37e	AY922267	
M37e2	FJ383684	FJ383694
M43_T16311C!	JX289107	
M43a	AY922301	
M43a1	FJ770954	JF742207
M43b	JF742211	FJ383428
M45	FJ748709	
M45a	HM030535	FJ383437
M54	KF056272	GU810077
M63	FJ383738	
M64	FJ383813	EF556193
M66a	FJ770971	GU480012
M66b	JX462692	AY922283
M5a	EF556195	DQ408675
M5a1a	AY922289	DQ112875
M5a1b	EF583176	FJ383568
M5a2	AY922259	
M5a2a	FJ383552	
M5a2a1	FJ770949	
M5a2a1a1	HM030518	FJ383564
M5a2a1a2	FJ383555	AY922285
M5a2a2	FJ383577	AY922273
M5a2a3	FJ383547	FJ383544
M5a2a4	EU597563	KC911557
M5a3a	FJ383581	FJ383580
M5a3b	FJ383559	FJ383561
M5a4	FJ383554	FJ383590
M5a5	FJ383569	FJ383566
M5d	FJ383557	FJ770955
M5b	KC577360	
M5b1	FJ383543	FJ383589
M5b2a	FJ383575	AY922292
M5b2b	FJ383596	FJ383576
M5b2b1	FJ383550	
M5b2b1a	HM036533	JF742202
M5c1	FJ383546	AY922281
M5c2	FJ770953	KF056270
M6	JX462705	
M6a1	JX462716	
M6a1a	FJ383308	FJ383302
M6a1b	JQ703707	AY922307
M6a2	FJ383305	FJ383301
M7a_T16324C	AP008394	
M7a1	AP008600	
M7a1a	AP010717	AP008402
M7a1a1	AP009451	AP008548
M7a1a1a	AP008249	AP010747
M7a1a2	AP008507	AP008731
M7a1a3	AP008585	AP008372
M7a1a4	AP008367	
M7a1a4a	AP008699	AP008503
M7a1a5	AP008280	
M7a1a5a	AP013259	AP008728
M7a1a6	AP009423	
M7a1a6a	AP008483	AP013205
M7a1a7	AP010750	AP008734
M7a1a8	AP013266	NA18965
M7a1a9	AP008466	NA19001
M7a1b1	AP008266	JX987459
M7a1b2	AP009443	AP013148
M7a2	AP010826	
M7a2a	AP013134	
M7a2a1	AP010824	AP008689
M7a2a2	AP010825	AP010763
M7a2a3	EF153781	
M7a2a3a	KF148516	KF148524
M7b1a1	KC569547	KC505115
M7b1a1a	NA18636	
M7b1a1a1	AP008365	AY255173
M7b1a1a1a	AP008902	AP008354
M7b1a1a1b	AP008621	AP008429
M7b1a1a1b1	NA18952	AP013274
M7b1a1a1c	AP008485	AP008625
M7b1a1a1d	AP013226	AP010979
M7b1a1a2	JF896798	NA18769
M7b1a1a3	NA18943	HG00512
M7b1a1b	AY255159	JX987469
M7b1a1_C16192T	EF153820	AP012426
M7b1a1c	FJ198219	NA18550
M7b1a1c1	HM357816	FJ198221
M7b1a1d	HG00403	
M7b1a1d1	GU123012	HG00593
M7b1a1e	GU810069	
M7b1a1e1	HM357821	JX987463
M7b1a1e2	HG00448	JX987447
M7b1a1f	JQ704806	JX987450
M7b1a1g	GU392102	NA18644
M7b1a1h	AP010993	FJ198220
M7b1a1i	KF540506	
M7b1a1i1	JX987442	JX987457
M7b1a2	NA17969	
M7b1a2a	KF849908	DQ272126
M7b1a2a1	KF540759	KF540571
M7b1a2a1a	KF540556	KF540953
M7b1a2a1b	KF540574	
M7b1a2a1b1	KF540567	KF540598
M7b1b	HM030531	EF153817
M7b2	HM030527	
M7b2a	HM030506	JX987443
M7c1a	HQ157976	
M7c1a1a	KF849978	
M7c1a1a1	HM036561	EU007890
M7c1a1b	HM852807	
M7c1a1b1	KF148264	KF148418
M7c1a2	HM030547	
M7c1a2a	EU597541	
M7c1a2a1	EF153823	AP010681
M7c1a3	JX987458	
M7c1a3a	NA18618	AP008647
M7c1a4a	KF849961	NA18756
M7c1a4b	KF541008	KC251746
M7c1a5	AP008755	EF397561
M7c1b	AY255158	
M7c1b1	EF153782	EF153790
M7c1b2a	NA18639	EF153818
M7c1b2b	JX987455	NA18152
M7c1c	JQ702664	
M7c1c1	KF540546	
M7c1c1a	KF540664	
M7c1c1a1	KC994065	HM238203
M7c1c2	JX987460	JX987445
M7c1c2a	JX987468	DQ272117
M7c1c3	JX987452	HM596650
M7c1c3a	GU733792	
M7c1c3a1	JX987466	HM238218
M7c1c3b	HM596659	JX987453
M7c1c3c	NA18674	JX987462
M7c1c3d	JQ703844	GU733735
M7c1c3e	AP012360	AP012363
M7c1c3f	KC994090	KC994116
M7c1c3g	KC994102	KC994012
M7c1c3h	KC994106	KC994099
M7c1c3i	KC994051	KC994126
M7c2	HQ157984	
M7c2a	HM030509	JX987470
M7c2b	KF540705	EF153810
M7c3	KF540540	HM030532
M8a1	KF148510	
M8a1a	AP008705	AP008823
M8a2	NA18538	FJ198227
M8a2_T152C	AP008531	
M8a2a	JF824924	
M8a2a1	AP008803	AY255150
M8a2b	AP008373	EU219349
M8a2c	AP008727	KF849960
M8a2d	KC251743	AY255161
M8a2e	NA18105	KF540552
M8a3	NA18646	HM460791
M8a3a	KF849919	KF849962
M8a3a1	KF849902	JF824830
C1a	AY519496	EU007858
C1b	NA19726	EU095226
C1b1	AY195759	HQ012193
C1b2	DQ282447	JN546585
C1b3	DQ282464	NA19788
C1b4	EU431085	DQ282475
C1b5a	HQ012213	DQ282469
C1b5b	JQ702595	JQ702534
C1b6	EU095229	EU095230
C1b7	HQ012207	HQ012196
C1b7a	NA19762	HQ012215
C1b10	HQ012198	HQ012188
C1b8	HQ012236	
C1b8a	HQ012210	HQ012202
C1b9	HQ012212	JQ702984
C1b11	JQ705451	JQ701891
C1b12	JQ705153	HQ012197
C1b13	JX413055	JX413056
C1b13a	JX413039	
C1b13a1	JX413038	JX413036
C1b13b	JX413042	JX413041
C1b13c	JX413044	
C1b13c1	JX413046	JX413048
C1b13d	JX413049	JX413050
C1b13e	JX413051	JX413052
C1b14	NA19773	HQ012208
C1c	DQ282459	JQ703840
C1c1	HQ012229	
C1c1a	EU597533	EF657324
C1c1b	JQ705676	JQ704902
C1c2	DQ282466	HQ012232
C1c3	JQ705761	EU095544
C1c4	HQ012220	EF079875
C1c5	DQ282465	HQ012230
C1c6	JQ704040	JQ705574
C1c7	JQ703827	HQ012223
C1c8	EU327891	EU431087
C1d	HQ012239	HM107306
C1d_C194T	HM107317	HM107309
C1d1	HM107365	HG01462
C1d1a	HM107321	
C1d1a1	HM107319	HM107320
C1d1b	HM107324	
C1d1b1	HM107326	HM107332
C1d1c	HM107334	
C1d1c1	HQ012235	DQ282473
C1d1d	HM107355	EU095537
C1d2	HM107315	
C1d2a	HM107314	HM107313
C1d3	JQ701741	
C1f	HM804483	
C4	FJ951604	
C4a1	KC911332	
C4a1a	FJ951462	
C4a1a1	JX266268	
C4a1a1a	FJ383648	FJ383597
C4a1a1_T195C!	FJ951601	EU597517
C4a1a2	JF824987	KF849915
C4a1a2a	AY255174	HG00428
C4a1a3	FJ951442	KF148492
C4a1a3a	FJ951463	FJ951533
C4a1a3a1	EU482371	AY615360
C4a1a3b	EU482380	FJ951552
C4a1a3c	KF148505	KF148229
C4a1a3d	KF148121	KF148106
C4a1a4	FJ951459	
C4a1a4a	EU482361	FJ951607
C4a1a5	FJ951612	HM036567
C4a1a6	FJ951475	FJ951539
C4a1b	GU392063	HQ260971
C4a2a	KF148092	
C4a2a1	EU007861	KF148221
C4a2a1a	EU482323	KF148332
C4a2a1b	KF148469	AF346979
C4a2b	GQ895170	
C4a2b1	FJ383631	FJ383634
C4a2b2	NA18547	
C4a2b2a	KF056249	KF056247
C4a2c	FJ951548	
C4a2c1	FJ383607	FJ383616
C4a2c2	FJ383647	
C4a2c2a	HM036530	HM036554
C4b	EU482314	FJ951445
C4b1	FJ951476	EU482304
C4b1a	AY570526	FJ951512
C4b1b	KF148250	FJ951497
C4b2	KF148135	
