ID	Group	Population_Count
MF522896	Kyrgyz	125.0
MF522897	Kyrgyz	125.0
MF522898	Kyrgyz	125.0
MF522899	Kyrgyz	125.0
MF522900	Kyrgyz	125.0
MF522901	Kyrgyz	125.0
MF522902	Kyrgyz	125.0
MF522903	Kyrgyz	125.0
MF522904	Kyrgyz	125.0
MF522905	Kyrgyz	125.0
MF522906	Kyrgyz	125.0
MF522907	Kyrgyz	125.0
MF522908	Kyrgyz	125.0
KT213741	Sherpa	165.0
KT213742	Sherpa	165.0
KT213743	Sherpa	165.0
KT213744	Sherpa	165.0
KT213745	Sherpa	165.0
KT213746	Sherpa	165.0
KT213747	Sherpa	165.0
KT213748	Sherpa	165.0
KT213749	Sherpa	165.0
KT213750	Sherpa	165.0
KT213751	Sherpa	165.0
KT213752	Sherpa	165.0
KT213753	Sherpa	165.0
KT213754	Sherpa	165.0
KT213755	Sherpa	165.0
KT213756	Sherpa	165.0
KT213757	Sherpa	165.0
KT213758	Sherpa	165.0
KT213759	Sherpa	165.0
KT213760	Sherpa	165.0
KT213761	Sherpa	165.0
KT213762	Sherpa	165.0
KT213763	Sherpa	165.0
KT213764	Sherpa	165.0
KT213765	Sherpa	165.0
KT213766	Sherpa	165.0
KT213767	Sherpa	165.0
KT213768	Sherpa	165.0
KT213769	Sherpa	165.0
KT213770	Sherpa	165.0
KT213771	Sherpa	165.0
KT213772	Sherpa	165.0
KT213773	Sherpa	165.0
KT213774	Sherpa	165.0
KT213775	Sherpa	165.0
KT213776	Sherpa	165.0
KT213777	Sherpa	165.0
KT213778	Sherpa	165.0
KT213779	Sherpa	165.0
KT213780	Sherpa	165.0
KT213781	Sherpa	165.0
KT213782	Sherpa	165.0
KT213783	Sherpa	165.0
KT213784	Sherpa	165.0
KT213785	Sherpa	165.0
KT213786	Sherpa	165.0
KT213787	Sherpa	165.0
KT213788	Sherpa	165.0
KT213789	Sherpa	165.0
KT213790	Sherpa	165.0
KT213791	Sherpa	165.0
KT213792	Sherpa	165.0
KT213793	Sherpa	165.0
KT213794	Sherpa	165.0
KT213795	Sherpa	165.0
KT213796	Sherpa	165.0
KT213797	Sherpa	165.0
KT213798	Sherpa	165.0
KT213799	Sherpa	165.0
KT213800	Sherpa	165.0
KT213801	Sherpa	165.0
KT213802	Sherpa	165.0
KT213803	Sherpa	165.0
KT213804	Sherpa	165.0
KT213805	Sherpa	165.0
KT213806	Sherpa	165.0
KT213807	Sherpa	165.0
KT213808	Sherpa	165.0
KT213809	Sherpa	165.0
KT213810	Sherpa	165.0
KT213811	Sherpa	165.0
KT213812	Sherpa	165.0
KT213813	Sherpa	165.0
KT213814	Sherpa	165.0
KT213815	Sherpa	165.0
KT213816	Sherpa	165.0
KT213817	Sherpa	165.0
KT213818	Sherpa	165.0
KT213819	Sherpa	165.0
KT213820	Sherpa	165.0
KT213821	Sherpa	165.0
KT213822	Sherpa	165.0
KT213823	Sherpa	165.0
KT213824	Sherpa	165.0
KT213825	Sherpa	165.0
KT213826	Sherpa	165.0
KT213827	Sherpa	165.0
KT213828	Sherpa	165.0
KT213829	Sherpa	165.0
MH449066	Hani	33.0
MH449067	Hani	33.0
MH449068	Hani	33.0
MH449069	Hani	33.0
MH449070	Hani	33.0
MH449071	Hani	33.0
MH449072	Hani	33.0
MH449073	Hani	33.0
MH449074	Hani	33.0
MH449075	Hani	33.0
MH449076	Hani	33.0
MH449077	Hani	33.0
MH449078	Hani	33.0
MH449079	Hani	33.0
MH449080	Hani	33.0
MH449081	Hani	33.0
MH449082	Hani	33.0
MH449083	Hani	33.0
MH449084	Hani	33.0
MH449085	Hani	33.0
MH449086	Hani	33.0
MH449087	Hani	33.0
MH449088	Hani	33.0
MH449089	Hani	33.0
MH449090	Hani	33.0
MH449091	Hani	33.0
MH449092	Hani	33.0
MH449093	Hani	33.0
MH449094	Hani	33.0
MH449095	Hani	33.0
MH449096	Hani	33.0
MH449097	Hani	33.0
MH449554	Hani	33.0
FJ770939	Tharu	35.0
FJ770940	Tharu	35.0
FJ770941	Tharu	35.0
FJ770942	Tharu	35.0
FJ770943	Tharu	35.0
FJ770944	Tharu	35.0
FJ770945	Tharu	35.0
FJ770946	Tharu	35.0
FJ770947	Tharu	35.0
FJ770948	Tharu	35.0
FJ770949	Tharu	35.0
FJ770950	Tharu	35.0
FJ770951	Tharu	35.0
FJ770952	Tharu	35.0
FJ770953	Tharu	35.0
FJ770954	Tharu	35.0
FJ770955	Tharu	35.0
FJ770956	Tharu	35.0
FJ770957	Tharu	35.0
FJ770958	Tharu	35.0
FJ770959	Tharu	35.0
FJ770960	Tharu	35.0
FJ770961	Tharu	35.0
FJ770962	Tharu	35.0
FJ770963	Tharu	35.0
FJ770964	Tharu	35.0
FJ770965	Tharu	35.0
FJ770966	Tharu	35.0
FJ770967	Tharu	35.0
FJ770968	Tharu	35.0
FJ770969	Tharu	35.0
FJ770970	Tharu	35.0
FJ770971	Tharu	35.0
FJ770972	Tharu	35.0
FJ770973	Tharu	35.0
FJ748704	Zang	525.0
FJ748705	Zang	525.0
FJ748706	Zang	525.0
FJ748707	Zang	525.0
FJ748708	Zang	525.0
FJ748709	Zang	525.0
FJ748710	Zang	525.0
FJ748711	Zang	525.0
FJ748712	Zang	525.0
FJ748713	Zang	525.0
FJ748714	Zang	525.0
FJ748715	Zang	525.0
FJ748716	Zang	525.0
FJ748717	Zang	525.0
FJ748718	Zang	525.0
FJ748719	Zang	525.0
FJ748720	Zang	525.0
FJ748721	Zang	525.0
FJ748722	Zang	525.0
FJ748723	Zang	525.0
FJ748724	Zang	525.0
FJ748725	Zang	525.0
FJ748726	Zang	525.0
FJ748728	Zang	525.0
FJ748729	Zang	525.0
FJ748730	Zang	525.0
FJ748731	Zang	525.0
FJ748732	Zang	525.0
FJ748733	Zang	525.0
FJ748734	Zang	525.0
FJ748735	Zang	525.0
FJ748736	Zang	525.0
FJ748737	Zang	525.0
FJ748738	Zang	525.0
FJ748739	Zang	525.0
FJ748740	Zang	525.0
FJ748741	Zang	525.0
FJ748742	Zang	525.0
FJ748743	Zang	525.0
FJ748744	Zang	525.0
FJ748745	Zang	525.0
FJ748746	Zang	525.0
FJ748747	Zang	525.0
FJ748748	Zang	525.0
FJ748749	Zang	525.0
FJ748750	Zang	525.0
FJ748751	Zang	525.0
FJ748752	Zang	525.0
FJ748753	Zang	525.0
FJ748754	Zang	525.0
FJ748755	Zang	525.0
FJ748756	Zang	525.0
FJ748757	Zang	525.0
FJ748758	Zang	525.0
FJ748759	Zang	525.0
KF056243	Sherpa	165.0
KF056244	Sherpa	165.0
KF056245	Sherpa	165.0
KF056246	Sherpa	165.0
KF056247	Sherpa	165.0
KF056248	Sherpa	165.0
KF056249	Sherpa	165.0
KF056250	Sherpa	165.0
KF056251	Sherpa	165.0
KF056252	Sherpa	165.0
KF056253	Sherpa	165.0
KF056254	Sherpa	165.0
KF056255	Sherpa	165.0
KF056256	Sherpa	165.0
KF056257	Sherpa	165.0
KF056258	Sherpa	165.0
KF056259	Sherpa	165.0
KF056260	Sherpa	165.0
KF056261	Sherpa	165.0
KF056262	Sherpa	165.0
KF056263	Sherpa	165.0
KF056264	Sherpa	165.0
KF056265	Sherpa	165.0
KF056266	Sherpa	165.0
KF056267	Sherpa	165.0
KF056268	Sherpa	165.0
KF056269	Sherpa	165.0
KF056270	Sherpa	165.0
KF056271	Sherpa	165.0
KF056272	Sherpa	165.0
KF056273	Sherpa	165.0
KF056274	Sherpa	165.0
KF056275	Sherpa	165.0
KF056276	Sherpa	165.0
KF056277	Sherpa	165.0
KF056278	Sherpa	165.0
KF056279	Sherpa	165.0
KF056280	Sherpa	165.0
KF056281	Sherpa	165.0
KF056282	Sherpa	165.0
KF056283	Sherpa	165.0
KF056284	Sherpa	165.0
KF056285	Sherpa	165.0
KF056286	Sherpa	165.0
KF056287	Sherpa	165.0
KF056288	Sherpa	165.0
KF056289	Sherpa	165.0
KF056290	Sherpa	165.0
KF056291	Sherpa	165.0
KF056292	Sherpa	165.0
KF056293	Sherpa	165.0
KF056294	Sherpa	165.0
KF056295	Sherpa	165.0
KF056296	Sherpa	165.0
KF056297	Sherpa	165.0
KF056298	Sherpa	165.0
KF056299	Sherpa	165.0
KF056300	Sherpa	165.0
KF056301	Sherpa	165.0
KF056302	Sherpa	165.0
KF056303	Sherpa	165.0
KF056304	Sherpa	165.0
KF056305	Sherpa	165.0
KF056306	Sherpa	165.0
KF056307	Sherpa	165.0
KF056308	Sherpa	165.0
KF056309	Sherpa	165.0
KF056310	Sherpa	165.0
KF056311	Sherpa	165.0
KF056312	Sherpa	165.0
KF056313	Sherpa	165.0
KF056314	Sherpa	165.0
KF056315	Sherpa	165.0
KF056316	Sherpa	165.0
KF056317	Sherpa	165.0
KF056318	Sherpa	165.0
KT726045	Lhoba	92.0
KT726046	Lhoba	92.0
KT726047	Lhoba	92.0
KT726048	Lhoba	92.0
KT726049	Lhoba	92.0
KT726050	Lhoba	92.0
KT726051	Lhoba	92.0
KT726052	Lhoba	92.0
KT726053	Lhoba	92.0
KT726054	Lhoba	92.0
KT726055	Lhoba	92.0
KT726056	Lhoba	92.0
KT726057	Lhoba	92.0
KT726058	Lhoba	92.0
KT726059	Lhoba	92.0
KT726060	Lhoba	92.0
KT726061	Lhoba	92.0
KT726062	Lhoba	92.0
KT726063	Lhoba	92.0
KT726064	Lhoba	92.0
KT726065	Lhoba	92.0
KT726066	Lhoba	92.0
KT726067	Lhoba	92.0
KT726068	Lhoba	92.0
KT726069	Lhoba	92.0
KT726070	Lhoba	92.0
KT726071	Lhoba	92.0
KT726072	Lhoba	92.0
KT726073	Lhoba	92.0
KT726074	Lhoba	92.0
KT726075	Lhoba	92.0
KT726076	Lhoba	92.0
KT726077	Lhoba	92.0
KT726078	Lhoba	92.0
KT726079	Lhoba	92.0
KT726080	Lhoba	92.0
KT726081	Lhoba	92.0
KT726082	Lhoba	92.0
KT726083	Lhoba	92.0
KT726084	Lhoba	92.0
KT726085	Lhoba	92.0
KT726086	Lhoba	92.0
KT726087	Lhoba	92.0
KT726088	Lhoba	92.0
KT726089	Lhoba	92.0
KT726090	Lhoba	92.0
KT726091	Lhoba	92.0
KT726092	Lhoba	92.0
KT726093	Lhoba	92.0
KT726094	Lhoba	92.0
KT726095	Lhoba	92.0
KT726096	Lhoba	92.0
KT726097	Lhoba	92.0
KT726098	Lhoba	92.0
KT726099	Lhoba	92.0
KT726100	Lhoba	92.0
KT726101	Lhoba	92.0
KT726102	Lhoba	92.0
KT726103	Lhoba	92.0
KT726104	Lhoba	92.0
KT726105	Lhoba	92.0
KT726106	Lhoba	92.0
KT726107	Lhoba	92.0
KT726108	Lhoba	92.0
KT726109	Lhoba	92.0
KT726110	Lhoba	92.0
KT726111	Lhoba	92.0
KT726112	Lhoba	92.0
KT726113	Lhoba	92.0
KT726114	Lhoba	92.0
KT726115	Lhoba	92.0
KT726116	Lhoba	92.0
KT726117	Lhoba	92.0
KT726118	Lhoba	92.0
KT726119	Lhoba	92.0
KT726120	Lhoba	92.0
KT726121	Lhoba	92.0
KT726122	Lhoba	92.0
KT726123	Lhoba	92.0
KT726124	Lhoba	92.0
KT726125	Lhoba	92.0
KT726126	Lhoba	92.0
KT726127	Lhoba	92.0
KT726128	Lhoba	92.0
KT726129	Lhoba	92.0
KT726130	Lhoba	92.0
KT726131	Lhoba	92.0
KT726132	Lhoba	92.0
KT726133	Lhoba	92.0
KT726134	Lhoba	92.0
KT725958	Deng	91.0
KT725868	Deng	91.0
KT725869	Deng	91.0
KT725870	Deng	91.0
KT725871	Deng	91.0
KT725872	Deng	91.0
KT725873	Deng	91.0
KT725874	Deng	91.0
KT725875	Deng	91.0
KT725876	Deng	91.0
KT725877	Deng	91.0
KT725878	Deng	91.0
KT725879	Deng	91.0
KT725880	Deng	91.0
KT725881	Deng	91.0
KT725882	Deng	91.0
KT725883	Deng	91.0
KT725884	Deng	91.0
KT725885	Deng	91.0
KT725886	Deng	91.0
KT725887	Deng	91.0
KT725888	Deng	91.0
KT725889	Deng	91.0
KT725890	Deng	91.0
KT725891	Deng	91.0
KT725892	Deng	91.0
KT725893	Deng	91.0
KT725894	Deng	91.0
KT725895	Deng	91.0
KT725896	Deng	91.0
KT725897	Deng	91.0
KT725898	Deng	91.0
KT725899	Deng	91.0
KT725900	Deng	91.0
KT725901	Deng	91.0
KT725902	Deng	91.0
KT725903	Deng	91.0
KT725904	Deng	91.0
KT725905	Deng	91.0
KT725906	Deng	91.0
KT725907	Deng	91.0
KT725908	Deng	91.0
KT725909	Deng	91.0
KT725910	Deng	91.0
KT725911	Deng	91.0
KT725912	Deng	91.0
KT725913	Deng	91.0
KT725914	Deng	91.0
KT725915	Deng	91.0
KT725916	Deng	91.0
KT725917	Deng	91.0
KT725918	Deng	91.0
KT725919	Deng	91.0
KT725920	Deng	91.0
KT725921	Deng	91.0
KT725922	Deng	91.0
KT725923	Deng	91.0
KT725924	Deng	91.0
KT725925	Deng	91.0
KT725926	Deng	91.0
KT725927	Deng	91.0
KT725928	Deng	91.0
KT725929	Deng	91.0
KT725930	Deng	91.0
KT725931	Deng	91.0
KT725932	Deng	91.0
KT725933	Deng	91.0
KT725934	Deng	91.0
KT725935	Deng	91.0
KT725936	Deng	91.0
KT725937	Deng	91.0
KT725938	Deng	91.0
KT725939	Deng	91.0
KT725940	Deng	91.0
KT725941	Deng	91.0
KT725942	Deng	91.0
KT725943	Deng	91.0
KT725944	Deng	91.0
KT725945	Deng	91.0
KT725946	Deng	91.0
KT725947	Deng	91.0
KT725948	Deng	91.0
KT725949	Deng	91.0
KT725950	Deng	91.0
KT725951	Deng	91.0
KT725952	Deng	91.0
KT725953	Deng	91.0
KT725954	Deng	91.0
KT725955	Deng	91.0
KT725956	Deng	91.0
KT725957	Deng	91.0
KT725959	Zang	525.0
KT725960	Zang	525.0
KT725961	Zang	525.0
KT725962	Zang	525.0
KT725963	Zang	525.0
KT725964	Zang	525.0
KT725965	Zang	525.0
KT725966	Zang	525.0
KT725967	Zang	525.0
KT725968	Zang	525.0
KT725969	Zang	525.0
KT725970	Zang	525.0
KT725971	Zang	525.0
KT725972	Zang	525.0
KT725973	Zang	525.0
KT725974	Zang	525.0
KT725975	Zang	525.0
KT725976	Zang	525.0
KT725977	Zang	525.0
KT725978	Zang	525.0
KT725979	Zang	525.0
KT725980	Zang	525.0
KT725981	Zang	525.0
KT725982	Zang	525.0
KT725983	Zang	525.0
KT725984	Zang	525.0
KT725985	Zang	525.0
KT725986	Zang	525.0
KT725987	Zang	525.0
KT725988	Zang	525.0
KT725989	Zang	525.0
KT725990	Zang	525.0
KT725991	Zang	525.0
KT725992	Zang	525.0
KT725993	Zang	525.0
KT725994	Zang	525.0
KT725995	Zang	525.0
KT725996	Zang	525.0
KT725997	Zang	525.0
KT725998	Zang	525.0
KT725999	Zang	525.0
KT726000	Zang	525.0
KT726001	Zang	525.0
KT726002	Zang	525.0
KT726003	Zang	525.0
KT726004	Zang	525.0
KT726005	Zang	525.0
KT726006	Zang	525.0
KT726007	Zang	525.0
KT726008	Zang	525.0
KT726009	Zang	525.0
KT726010	Zang	525.0
KT726011	Zang	525.0
KT726012	Zang	525.0
KT726013	Zang	525.0
KT726014	Zang	525.0
KT726015	Zang	525.0
KT726016	Zang	525.0
KT726017	Zang	525.0
KT726018	Zang	525.0
KT726019	Zang	525.0
KT726020	Zang	525.0
KT726021	Zang	525.0
KT726022	Zang	525.0
KT726023	Zang	525.0
KT726024	Zang	525.0
KT726025	Zang	525.0
KT726026	Zang	525.0
KT726027	Zang	525.0
KT726028	Zang	525.0
KT726029	Zang	525.0
KT726030	Zang	525.0
KT726031	Zang	525.0
KT726032	Zang	525.0
KT726033	Zang	525.0
KT726034	Zang	525.0
KT726035	Zang	525.0
KT726036	Zang	525.0
KT726037	Zang	525.0
KT726038	Zang	525.0
KT726039	Zang	525.0
KT726040	Zang	525.0
KT726041	Zang	525.0
KT726042	Zang	525.0
KT726043	Zang	525.0
KT726044	Lhoba	92.0
KP346035	Bamar	57.0
KP346036	Bamar	57.0
KP346037	Bamar	57.0
KP346038	Bamar	57.0
KP346039	Bamar	57.0
KP346040	Bamar	57.0
KP346027	Bamar	57.0
KP346028	Bamar	57.0
KP346029	Bamar	57.0
KP346030	Bamar	57.0
KP346031	Bamar	57.0
KP346032	Bamar	57.0
KP346033	Bamar	57.0
KP346034	Bamar	57.0
KP346010	Bamar	57.0
KP346011	Bamar	57.0
KP346012	Bamar	57.0
KP346013	Bamar	57.0
KP346014	Bamar	57.0
KP346015	Bamar	57.0
KP346016	Bamar	57.0
KP346018	Bamar	57.0
KP346019	Bamar	57.0
KP346020	Bamar	57.0
KP346021	Bamar	57.0
KP346022	Bamar	57.0
KP346023	Bamar	57.0
KP345979	Bamar	57.0
KP345982	Bamar	57.0
KP345983	Bamar	57.0
KP345984	Bamar	57.0
KP345988	Bamar	57.0
SPF074	Zang	525.0
SPF076	Zang	525.0
SPF078	Zang	525.0
SPF081	Zang	525.0
SPF083	Zang	525.0
SPF084	Zang	525.0
SPF103	Zang	525.0
SPF104	Zang	525.0
SPF105	Zang	525.0
SPF106	Zang	525.0
SPF111	Zang	525.0
SPF112	Zang	525.0
SPF113	Zang	525.0
SPF116	Zang	525.0
SPF117	Zang	525.0
SPF118	Zang	525.0
SPF119	Zang	525.0
SPF120	Zang	525.0
SPF122	Zang	525.0
SPF123	Zang	525.0
SPF125	Zang	525.0
SPF126	Zang	525.0
SPF128	Zang	525.0
SPF129	Zang	525.0
SPF131	Zang	525.0
SPF134	Zang	525.0
SPF135	Zang	525.0
SPF137	Zang	525.0
SPF138	Zang	525.0
SPF145	Zang	525.0
SPF152	Zang	525.0
SPF155	Zang	525.0
SPF160	Zang	525.0
SPF164	Zang	525.0
SPF167	Zang	525.0
SPF168	Zang	525.0
SPF169	Zang	525.0
SPF172	Zang	525.0
SPF173	Zang	525.0
SPF174	Zang	525.0
SPF176	Zang	525.0
SPF178	Zang	525.0
SPF180	Zang	525.0
SPF181	Zang	525.0
SPF182	Zang	525.0
SPF184	Zang	525.0
SPF185	Zang	525.0
SPF186	Zang	525.0
SPF187	Zang	525.0
SPF188	Zang	525.0
SPF189	Zang	525.0
SPF191	Zang	525.0
SPF193	Zang	525.0
SPF194	Zang	525.0
SPF195	Zang	525.0
SPF196	Zang	525.0
SPF197	Zang	525.0
SPF198	Zang	525.0
SPF199	Zang	525.0
SPF201	Zang	525.0
SPF206	Zang	525.0
SPF217	Zang	525.0
SPF222	Zang	525.0
SPF223	Zang	525.0
SPF228	Zang	525.0
SPF230	Zang	525.0
SPF235	Zang	525.0
SPF247	Zang	525.0
SPF264	Zang	525.0
SPF281	Zang	525.0
SPF282	Zang	525.0
SPF283	Zang	525.0
SPF349	Zang	525.0
SPF357	Zang	525.0
SPF372	Zang	525.0
SPF374	Zang	525.0
SPF376	Zang	525.0
SPF387	Zang	525.0
SPF389	Zang	525.0
SPF395	Zang	525.0
SPF412	Zang	525.0
SPM010	Zang	525.0
SPM019	Zang	525.0
SPM026	Zang	525.0
SPM032	Zang	525.0
SPM034	Zang	525.0
SPM036	Zang	525.0
SPM042	Zang	525.0
SPM043	Zang	525.0
SPM045	Zang	525.0
SPM049	Zang	525.0
SPM050	Zang	525.0
SPM052	Zang	525.0
SPM054	Zang	525.0
SPM057	Zang	525.0
SPM062	Zang	525.0
SPM065	Zang	525.0
SPM066	Zang	525.0
SPM068	Zang	525.0
SPM069	Zang	525.0
SPM071	Zang	525.0
SPM073	Zang	525.0
SPM074	Zang	525.0
SPM075	Zang	525.0
SPM077	Zang	525.0
SPM079	Zang	525.0
SPM081	Zang	525.0
SPM083	Zang	525.0
SPM084	Zang	525.0
SPM085	Zang	525.0
SPM089	Zang	525.0
SPM090	Zang	525.0
SPM091	Zang	525.0
SPM093	Zang	525.0
SPM095	Zang	525.0
SPM097	Zang	525.0
SPM098	Zang	525.0
SPM099	Zang	525.0
SPM100	Zang	525.0
SPM103	Zang	525.0
SPM104	Zang	525.0
SPM105	Zang	525.0
SPM107	Zang	525.0
SPM108	Zang	525.0
SPM111	Zang	525.0
SPM114	Zang	525.0
SPM116	Zang	525.0
SPM120	Zang	525.0
SPM121	Zang	525.0
SPM122	Zang	525.0
SPM129	Zang	525.0
SPM131	Zang	525.0
SPM138	Zang	525.0
SPM148	Zang	525.0
SPM149	Zang	525.0
SPM165	Zang	525.0
SPM168	Zang	525.0
SPM169	Zang	525.0
SPM170	Zang	525.0
SPM171	Zang	525.0
SPM172	Zang	525.0
SPM173	Zang	525.0
SPM174	Zang	525.0
SPM176	Zang	525.0
SPM177	Zang	525.0
SPM178	Zang	525.0
SPM179	Zang	525.0
SPM180	Zang	525.0
SPM181	Zang	525.0
SPM182	Zang	525.0
SPM183	Zang	525.0
SPM184	Zang	525.0
SPM185	Zang	525.0
SPM187	Zang	525.0
SPM188	Zang	525.0
SPM189	Zang	525.0
SPM192	Zang	525.0
SPM211	Zang	525.0
SPM225	Zang	525.0
SPM226	Zang	525.0
SPM241	Zang	525.0
SPM248	Zang	525.0
SPM249	Zang	525.0
SPM250	Zang	525.0
SPM259	Zang	525.0
SPM264	Zang	525.0
SPM265	Zang	525.0
SPM267	Zang	525.0
SPM278	Zang	525.0
SPM280	Zang	525.0
SPM320	Zang	525.0
SPM336	Zang	525.0
SPM348	Zang	525.0
SPM350	Zang	525.0
SPM351	Zang	525.0
SPM383	Zang	525.0
SPM385	Zang	525.0
SPM393	Zang	525.0
MSF002	Mosuo	35.0
MSF007	Mosuo	35.0
MSF009	Mosuo	35.0
MSF011	Mosuo	35.0
MSF012	Mosuo	35.0
MSF013	Mosuo	35.0
MSF014	Mosuo	35.0
MSF015	Mosuo	35.0
MSF017	Mosuo	35.0
MSF018	Mosuo	35.0
MSF019	Mosuo	35.0
MSF020	Mosuo	35.0
MSF035	Mosuo	35.0
MSF037	Mosuo	35.0
MSM004	Mosuo	35.0
MSM005	Mosuo	35.0
MSM006	Mosuo	35.0
MSM008	Mosuo	35.0
MSM021	Mosuo	35.0
MSM022	Mosuo	35.0
MSM023	Mosuo	35.0
MSM024	Mosuo	35.0
MSM025	Mosuo	35.0
MSM026	Mosuo	35.0
MSM027	Mosuo	35.0
MSM028	Mosuo	35.0
MSM029	Mosuo	35.0
MSM030	Mosuo	35.0
MSM031	Mosuo	35.0
MSM032	Mosuo	35.0
MSM033	Mosuo	35.0
MSM034	Mosuo	35.0
MSM038	Mosuo	35.0
MSM039	Mosuo	35.0
MSM040	Mosuo	35.0
HM346931	Zang	525.0
HM346936	Zang	525.0
HM346918	Zang	525.0
HM346919	Zang	525.0
HM346920	Zang	525.0
HM346921	Zang	525.0
HM346923	Zang	525.0
HM346926	Zang	525.0
HM346927	Zang	525.0
HM346898	Zang	525.0
HM346930	Zang	525.0
GQ895140	Zang	525.0
